监测点位,X,Y,Z,采样深度/m,上层深度,下层深度,样品编号,pH值,苯并(a)芘,苯并(a)蒽,苯并(b)荧蒽,"二苯并(a,h)蒽","茚并(1,2,3-c,d)芘",萘,苯,乙苯,石油烃(C10-C40),砷,数据来源,2米分层（详查）,地面高程/m
JM(E-S1)3,3547.7738,7783.2677,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,0.22,/,/,/,,工作井以北,2,
JM2(S30),3533.0117,7775.3852,0.5,0-0.5,0,0.5,,/,2.5,4.1,3.5,0.6,1.6,ND,/,/,/,,工作井以北,2,
JM2(S30),3533.0117,7775.3852,1.5,1.0-1.5,1,1.5,,/,13.8,24.4,14,2.5,7.5,4.49,/,/,/,,工作井以北,2,
JM2(S30),3533.0117,7775.3852,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,4,
JM2(S30),3533.0117,7775.3852,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,6,
JM(E-S4)2,3533.348,7812.428,0.5,0-0.5,0,0.5,,/,0.2,0.4,0.3,ND,0.2,0.33,/,/,/,,工作井以北,2,
JM(E-S4)2,3533.348,7812.428,1.5,1.0-1.5,1,1.5,,/,0.3,0.6,0.4,0.1,0.2,1.16,/,/,/,,工作井以北,2,
JM(E-S4)2,3533.348,7812.428,4,3.5-4.0,3.5,4,,/,ND,0.2,ND,ND,ND,0.1,/,/,/,,工作井以北,4,
E-S4 ,3524.7026,7801.5213,0.2,0-0.2,0,0.2,,8.22,2.7,2.4,3.5,0.48,1.6,0.42,ND,ND,259,12.9,工作井以北,2,
E-S4 ,3524.7026,7801.5213,1.2,1.0-1.2,1,1.2,,8.46,2.1,1.9,1.7,0.26,0.8,4.57,ND,0.0733,297,13.8,工作井以北,2,
E-S4 ,3524.7026,7801.5213,4,3.5-4.0,3.5,4,,/,1.9,3.3,1.5,0.3,1.2,34.9,/,/,/,,工作井以北,4,
E-S4 ,3524.7026,7801.5213,5,4.5-5,4.5,5,,8.72,ND,ND,ND,ND,ND,ND,ND,0.0658,26,7.7,工作井以北,6,
JM(E-S4)3,3514.0672,7810.4983,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,0.78,/,/,/,,工作井以北,2,
JM(E-S4)3,3514.0672,7810.4983,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,0.29,/,/,/,,工作井以北,2,
JM(E-S4)3,3514.0672,7810.4983,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,0.39,/,/,/,,工作井以北,4,
JM2(S34),3516.8411,7827.4924,0.5,0-0.5,0,0.5,,/,0.3,0.3,0.4,ND,0.2,ND,/,/,/,,工作井以北,2,
JM2(S34),3516.8411,7827.4924,1.5,1.0-1.5,1,1.5,,/,0.6,1.1,1.1,0.2,0.7,1.37,/,/,/,,工作井以北,2,
JM(E-S8)1,3503.3198,7819.8512,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,0.12,/,/,/,,工作井以北,2,
JM(E-S8)1,3503.3198,7819.8512,1.5,1.0-1.5,1,1.5,,/,0.5,0.5,1.6,0.2,0.9,ND,/,/,/,,工作井以北,2,
E-S8,3492.7088,7829.2609,0.2,0-0.2,0,0.2,,8.5,2.2,1.7,3,0.49,1.4,1.25,ND,0.103,265,26.4,工作井以北,2,
E-S8,3492.7088,7829.2609,1,0.5-1,0.5,1,,8.41,0.5,0.5,0.6,0.16,0.5,1.17,ND,0.0594,345,30.7,工作井以北,2,
E-S8,3492.7088,7829.2609,5,4.5-5,4.5,5,,8.72,ND,ND,ND,ND,ND,ND,ND,ND,39,7.71,工作井以北,6,
JM(E-S8)2,3501.5186,7840.375,0.5,0-0.5,0,0.5,,/,0.3,0.2,0.4,ND,0.2,0.21,/,/,/,,工作井以北,2,
JM(E-S8)2,3501.5186,7840.375,1.5,1.0-1.5,1,1.5,,/,25.3,14.3,14.1,2.7,12.3,1364,/,/,/,,工作井以北,2,
JM(E-S8)2,3501.5186,7840.375,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,4,
JM(E-S8)3,3481.5947,7838.0707,0.5,0-0.5,0,0.5,,/,19.7,11.1,13,2.2,10.1,1071,/,/,/,,工作井以北,2,
JM(E-S8)3,3481.5947,7838.0707,1.5,1.0-1.5,1,1.5,,/,0.8,0.6,0.7,0.1,0.4,0.18,/,/,/,,工作井以北,2,
JM2(S38),3491.0048,7851.0269,0.5,0-0.5,0,0.5,,/,19.5,24.5,14.6,2.9,11.4,38.1,/,/,/,,工作井以北,2,
JM2(S38),3491.0048,7851.0269,1.5,1.0-1.5,1,1.5,,/,0.4,0.6,0.5,ND,0.3,0.23,/,/,/,,工作井以北,2,
JM2(S20),3620.0118,7702.9495,0.5,0-0.5,0,0.5,,/,1.1,1.2,1.2,0.3,0.9,0.48,0.852,/,/,176,工作井以北,2,
